## Mon Jan 17 15:31:48 2022
## emapper-2.1.6
## /opt/software/eggnog-mapper/2.1.6-foss-2020b/bin/emapper.py -i oyster_mollicutes_mag.faa --output oyster_mollicutes_mag.faa_annotated.tsv --data_dir /data2/shared/eggnog/ -m diamond --cpu 20
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
k141_29341_12	1034808.GIG_04149	6.76e-184	527.0	COG0017@1|root,COG0017@2|Bacteria,3WT0G@544448|Tenericutes	544448|Tenericutes	J	asparaginyl-tRNA synthetase	asnS	-	6.1.1.22	ko:K01893	ko00970,map00970	M00359,M00360	R03648	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2,tRNA_anti-codon
k141_29341_13	1037410.MCSF7_01336	1.28e-18	92.8	COG0463@1|root,COG0463@2|Bacteria,3WTCC@544448|Tenericutes	544448|Tenericutes	M	COG0463 Glycosyltransferases involved in cell wall biogenesis	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
k141_29341_14	1048830.GUU_04409	2.98e-137	399.0	COG1087@1|root,COG1087@2|Bacteria,3WT6G@544448|Tenericutes	544448|Tenericutes	M	Belongs to the NAD(P)-dependent epimerase dehydratase family	galE	-	5.1.3.2	ko:K01784	ko00052,ko00520,ko01100,map00052,map00520,map01100	M00361,M00362,M00632	R00291,R02984	RC00289	ko00000,ko00001,ko00002,ko01000	-	-	-	Epimerase,GDP_Man_Dehyd
k141_29341_16	496833.MBIO_0467	5.47e-197	581.0	COG0210@1|root,COG0210@2|Bacteria,3WT08@544448|Tenericutes	544448|Tenericutes	L	DNA helicase	pcrA	-	3.6.4.12	ko:K03657	ko03420,ko03430,map03420,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	UvrD-helicase,UvrD_C
k141_29341_18	496833.MBIO_0707	2.61e-212	602.0	COG0441@1|root,COG0441@2|Bacteria,3WT27@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro)	proS	-	6.1.1.15	ko:K01881	ko00970,map00970	M00359,M00360	R03661	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,ProRS-C_1,tRNA-synt_2b
k141_29341_19	679192.HMPREF9013_0644	1.13e-23	94.0	COG3118@1|root,COG3118@2|Bacteria,1VA3Y@1239|Firmicutes,3VR6N@526524|Erysipelotrichia	526524|Erysipelotrichia	O	Belongs to the thioredoxin family	trxA	-	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
k141_29341_20	512564.MCRO_0074	9.38e-194	553.0	COG0446@1|root,COG0446@2|Bacteria,3WT2T@544448|Tenericutes	544448|Tenericutes	C	nadh oxidase	nox	-	-	-	-	-	-	-	-	-	-	-	Pyr_redox_2,Pyr_redox_dim
k141_29341_22	496833.MBIO_0236	8.63e-48	157.0	COG0669@1|root,COG0669@2|Bacteria,3WTK5@544448|Tenericutes	544448|Tenericutes	H	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate	coaD	-	2.7.7.3	ko:K00954	ko00770,ko01100,map00770,map01100	M00120	R03035	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_like
k141_29341_23	243273.MG_264	7.41e-12	68.6	COG0237@1|root,COG0237@2|Bacteria,3WTZP@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	coaE	-	2.7.1.24	ko:K00859	ko00770,ko01100,map00770,map01100	M00120	R00130	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CoaE
k141_29341_24	1048830.GUU_04761	7.98e-85	266.0	COG0280@1|root,COG0280@2|Bacteria,3WSW4@544448|Tenericutes	544448|Tenericutes	C	phosphate acetyltransferase	pta	-	2.3.1.8	ko:K00625	ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200	M00357,M00579	R00230,R00921	RC00004,RC02746,RC02816	ko00000,ko00001,ko00002,ko01000	-	-	-	PTA_PTB
k141_29341_25	666686.B1NLA3E_17280	3.81e-119	358.0	COG0282@1|root,COG0282@2|Bacteria,1TQ22@1239|Firmicutes,4HA7K@91061|Bacilli,1ZDDX@1386|Bacillus	91061|Bacilli	F	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	ackA	-	2.7.2.1	ko:K00925	ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200	M00357,M00579	R00315,R01353	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	-	Acetate_kinase
k141_29341_26	267748.MMOB2670	8.11e-22	97.1	29ZRQ@1|root,30MSM@2|Bacteria,3WTP5@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_29341_27	650150.ERH_0862	1.11e-26	115.0	COG0510@1|root,COG4750@1|root,COG0510@2|Bacteria,COG4750@2|Bacteria,1TRCJ@1239|Firmicutes,3VPEC@526524|Erysipelotrichia	526524|Erysipelotrichia	M	Choline/ethanolamine kinase	-	-	-	-	-	-	-	-	-	-	-	-	Choline_kinase,HTH_24,NTP_transf_3
k141_29341_28	1408422.JHYF01000020_gene1820	9.53e-62	209.0	COG0079@1|root,COG0079@2|Bacteria,1TPUV@1239|Firmicutes,24837@186801|Clostridia,36DDS@31979|Clostridiaceae	186801|Clostridia	E	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily	hisC	-	2.6.1.9	ko:K00817	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03243	RC00006,RC00888	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
k141_29341_29	267748.MMOB4870	1.74e-224	670.0	COG0587@1|root,COG0587@2|Bacteria,3WT1V@544448|Tenericutes	544448|Tenericutes	L	dna polymerase	dnaE	-	2.7.7.7	ko:K02337	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_alpha,HHH_6,PHP
k141_29341_30	1033810.HLPCO_002431	1.1e-79	265.0	COG0749@1|root,COG0749@2|Bacteria,2NNKA@2323|unclassified Bacteria	2|Bacteria	L	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity	polA	GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576	2.7.7.7	ko:K02335	ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440	-	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1
k141_29341_31	243272.MARTH_orf615	1.43e-28	118.0	COG3611@1|root,COG3611@2|Bacteria,3WT3T@544448|Tenericutes	544448|Tenericutes	L	Membrane attachment protein	-	-	-	ko:K03346	-	-	-	-	ko00000,ko03032	-	-	-	DnaB_2
k141_29341_32	880447.MSB_A0649	1.64e-34	134.0	COG1484@1|root,COG1484@2|Bacteria,3WU00@544448|Tenericutes	544448|Tenericutes	L	IstB-like ATP binding protein	dnaI	-	-	ko:K11144	-	-	-	-	ko00000,ko03032	-	-	-	IstB_IS21
k141_29341_33	1118964.MOS_724	7.69e-58	200.0	2B5D6@1|root,31Y7G@2|Bacteria,3WT3Q@544448|Tenericutes	544448|Tenericutes	S	ABC transporter	phnD	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K02044	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	Mycoplasma_p37
k141_29341_34	1129369.MYM_0676	1.61e-43	154.0	COG3638@1|root,COG3638@2|Bacteria,3WTFH@544448|Tenericutes	544448|Tenericutes	P	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system	phnC	-	3.6.3.28	ko:K02041	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.9	-	-	ABC_tran
k141_29341_35	1118964.MOS_722	1.82e-25	110.0	COG3639@1|root,COG3639@2|Bacteria,3WT0U@544448|Tenericutes	544448|Tenericutes	P	permease	phnB	-	-	ko:K02042	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	BPD_transp_1
k141_31110_2	45361.MCJ_006560	1.09e-06	58.9	2B5DF@1|root,31Y7U@2|Bacteria,3WT48@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_31110_3	347256.MHO_1590	8.43e-07	55.1	2B5UA@1|root,31YQ2@2|Bacteria,3WTU0@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_31110_4	1188234.MALK_0620	9.09e-15	69.3	29ZZN@1|root,30N1H@2|Bacteria,3WU2Q@544448|Tenericutes	544448|Tenericutes	Q	Phosphopantetheine attachment site	-	-	-	-	-	-	-	-	-	-	-	-	PP-binding
k141_31110_5	272635.MYPU_3590	1.21e-47	167.0	COG1307@1|root,COG1307@2|Bacteria,3WT33@544448|Tenericutes	544448|Tenericutes	S	lipid binding	degV1	-	-	-	-	-	-	-	-	-	-	-	DegV
k141_31110_6	838561.P344_06240	9.9e-20	84.7	2ETGG@1|root,33M0B@2|Bacteria,3WU71@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_31110_8	347256.MHO_2630	3.33e-139	410.0	COG0162@1|root,COG0162@2|Bacteria,3WSW6@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	tyrS	-	6.1.1.1	ko:K01866	ko00970,map00970	M00359,M00360	R02918	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	S4,tRNA-synt_1b
k141_31110_10	1118964.MOS_094	4.13e-83	252.0	COG0522@1|root,COG0522@2|Bacteria,3WT9S@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	-	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S4,S4
k141_31110_12	747682.MALL_0283	2.17e-132	390.0	COG0301@1|root,COG0301@2|Bacteria,3WT3B@544448|Tenericutes	544448|Tenericutes	H	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS	thiI	-	2.8.1.4	ko:K03151	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07461	-	ko00000,ko00001,ko01000,ko03016	-	-	-	THUMP,ThiI
k141_31110_13	1427984.X271_00117	8.06e-26	110.0	COG0561@1|root,COG0561@2|Bacteria,3WU6M@544448|Tenericutes	544448|Tenericutes	S	Sucrose-6F-phosphate phosphohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
k141_31110_14	1443125.Z962_11960	2.73e-25	108.0	COG0561@1|root,COG0561@2|Bacteria,1TR16@1239|Firmicutes,248MW@186801|Clostridia,36RFE@31979|Clostridiaceae	186801|Clostridia	S	Sucrose-6F-phosphate phosphohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
k141_31110_15	1033737.CAEV01000002_gene2188	0.000464	49.7	COG2267@1|root,COG2267@2|Bacteria,1V0IY@1239|Firmicutes,24BEP@186801|Clostridia,36E65@31979|Clostridiaceae	186801|Clostridia	I	Alpha beta	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Hydrolase_4
k141_35600_2	347256.MHO_2020	4.95e-11	65.5	29ZR3@1|root,30MRW@2|Bacteria,3WTMW@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	ko:K02237	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	-
k141_35600_3	243272.MARTH_orf372	6.41e-22	105.0	COG0658@1|root,COG0658@2|Bacteria,3WTHG@544448|Tenericutes	544448|Tenericutes	S	Competence protein	-	-	-	ko:K02238	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	-	Competence
k141_35600_4	267748.MMOB3600	4.68e-44	159.0	COG1466@1|root,COG1466@2|Bacteria,3WTJZ@544448|Tenericutes	544448|Tenericutes	L	DNA polymerase III delta subunit	holA	-	2.7.7.7	ko:K02340	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_delta
k141_35600_5	272635.MYPU_6560	5.09e-21	86.3	COG0268@1|root,COG0268@2|Bacteria,3WTVR@544448|Tenericutes	544448|Tenericutes	J	Binds directly to 16S ribosomal RNA	rpsT	-	-	ko:K02968	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S20p
k141_35600_6	2113.MCFN_00665	1.71e-17	85.9	COG0551@1|root,COG0551@2|Bacteria,3WTT2@544448|Tenericutes	544448|Tenericutes	L	Nuclease-related domain	-	-	-	-	-	-	-	-	-	-	-	-	NERD
k141_35600_7	272635.MYPU_4210	5.17e-38	144.0	COG0569@1|root,COG0569@2|Bacteria,3WT7T@544448|Tenericutes	544448|Tenericutes	P	Potassium channel protein	-	-	-	ko:K10716	-	-	-	-	ko00000,ko02000	1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6	-	-	Ion_trans,Ion_trans_2
k141_35600_8	1117644.MCANPG14_02441	5.41e-104	311.0	COG0223@1|root,COG0223@2|Bacteria,3WSZ7@544448|Tenericutes	544448|Tenericutes	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	fmt	-	2.1.2.9	ko:K00604	ko00670,ko00970,map00670,map00970	-	R03940	RC00026,RC00165	ko00000,ko00001,ko01000	-	-	-	Formyl_trans_C,Formyl_trans_N
k141_35600_9	1158614.I592_00290	5.69e-05	48.9	COG1476@1|root,COG1476@2|Bacteria,1UWY5@1239|Firmicutes,4I944@91061|Bacilli,4B3Q3@81852|Enterococcaceae	91061|Bacilli	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
k141_45383_1	1537994.JQFW01000042_gene2260	2.29e-12	73.9	COG1680@1|root,COG1680@2|Bacteria,1MVPR@1224|Proteobacteria,1RRTD@1236|Gammaproteobacteria,466C4@72275|Alteromonadaceae	1236|Gammaproteobacteria	V	COG1680 Beta-lactamase class C and other penicillin binding proteins	estB	-	-	-	-	-	-	-	-	-	-	-	Beta-lactamase
k141_45383_2	1188233.MAU_4530	1.14e-87	274.0	COG0006@1|root,COG0006@2|Bacteria,3WSXU@544448|Tenericutes	544448|Tenericutes	E	XAA-PRO aminopeptidase	pepP	-	3.4.11.9,3.4.13.9	ko:K01262,ko:K01271	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Creatinase_N,Peptidase_M24
k141_45383_3	267748.MMOB1140	2.11e-80	268.0	COG0531@1|root,COG0531@2|Bacteria,3WT5Q@544448|Tenericutes	544448|Tenericutes	E	amino acid	potE	-	-	-	-	-	-	-	-	-	-	-	AA_permease,AA_permease_2
k141_45383_4	289397.MBOVPG45_0789	1.55e-42	154.0	COG0561@1|root,COG0561@2|Bacteria,3WTG5@544448|Tenericutes	544448|Tenericutes	S	haloacid dehalogenase-like hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
k141_45383_5	272635.MYPU_4830	3.4e-112	336.0	COG1488@1|root,COG1488@2|Bacteria,3WSVB@544448|Tenericutes	544448|Tenericutes	H	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	pncB	-	6.3.4.21	ko:K00763	ko00760,ko01100,map00760,map01100	-	R01724	RC00033	ko00000,ko00001,ko01000	-	-	-	NAPRTase,QRPTase_C,QRPTase_N
k141_45383_6	272635.MYPU_1750	1.33e-08	53.5	2BPUA@1|root,32IMS@2|Bacteria,3WTW6@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_45383_9	262723.MS53_0328	3.51e-08	64.7	COG2755@1|root,COG2755@2|Bacteria,3WSY2@544448|Tenericutes	544448|Tenericutes	E	by sequence	-	-	-	ko:K20306	-	-	-	-	ko00000,ko04131	-	-	-	Lipase_GDSL,Lipase_GDSL_2
k141_45383_10	243272.MARTH_orf271	4.67e-78	242.0	COG0217@1|root,COG0217@2|Bacteria,3WT6S@544448|Tenericutes	544448|Tenericutes	K	transcriptional regulatory protein	-	-	-	-	-	-	-	-	-	-	-	-	Transcrip_reg
k141_45383_11	536227.CcarbDRAFT_4661	8.35e-08	63.9	COG2755@1|root,COG2755@2|Bacteria	2|Bacteria	E	lipolytic protein G-D-S-L family	-	-	-	-	-	-	-	-	-	-	-	-	Lipase_GDSL_2,SLH
k141_45383_12	1129369.MYM_0273	5.73e-31	115.0	COG0781@1|root,COG0781@2|Bacteria,3WTVU@544448|Tenericutes	544448|Tenericutes	K	COG0781 Transcription termination factor	nusB	-	-	ko:K03625	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	NusB
k141_45383_14	347256.MHO_1220	6.45e-79	244.0	COG1189@1|root,COG1189@2|Bacteria,3WTMF@544448|Tenericutes	544448|Tenericutes	J	FtsJ-like methyltransferase	yqxC	-	2.1.1.226,2.1.1.227	ko:K06442	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	FtsJ,S4
k141_45383_15	1188241.UDIV_2650	2.16e-84	270.0	COG0520@1|root,COG0520@2|Bacteria,3WT3J@544448|Tenericutes	544448|Tenericutes	E	Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L- selenocystine to produce L-alanine	nifS	-	2.8.1.7,4.4.1.16	ko:K11717	ko00450,ko01100,map00450,map01100	-	R03599,R11528	RC00961,RC01789,RC02313	ko00000,ko00001,ko01000	-	-	-	Aminotran_5
k141_45383_16	272635.MYPU_1740	1.41e-24	99.0	COG0822@1|root,COG0822@2|Bacteria,3WTKH@544448|Tenericutes	544448|Tenericutes	C	NifU-like N terminal domain	nifU	-	-	ko:K04488	-	-	-	-	ko00000	-	-	-	NifU_N
k141_45383_17	1006581.GCW_02090	1.52e-05	50.1	COG0735@1|root,COG0735@2|Bacteria,3WU3J@544448|Tenericutes	544448|Tenericutes	P	Ferric uptake regulator family	-	-	-	-	-	-	-	-	-	-	-	-	FUR
k141_45383_18	1121333.JMLH01000006_gene1284	1.07e-75	248.0	COG0389@1|root,COG0389@2|Bacteria,1TP42@1239|Firmicutes,3VP47@526524|Erysipelotrichia	526524|Erysipelotrichia	L	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII	dinB	-	2.7.7.7	ko:K02346	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	IMS,IMS_C,IMS_HHH
